"","County","Year","Count_ExHeat_Days","NC_Annual_Agv_ExHeatDays"
"611","Haywood",2016,0,35
"612","Haywood",2017,0,18.68
"613","Haywood",2018,0,26.5
"614","Haywood",2019,0,34.61
"615","Haywood",2020,0,20.97
"616","Haywood",2021,0,20.6
"617","Henderson",2008,3,30.37
"618","Henderson",2009,4,39.34
"619","Henderson",2010,0,52.17
"620","Henderson",2011,3,57.02
"621","Henderson",2012,2,38.38
"622","Henderson",2013,0,9.82
"623","Henderson",2014,0,29.04
"624","Henderson",2015,0,35.98
"625","Henderson",2016,0,35
"626","Henderson",2017,0,18.68
"627","Henderson",2018,0,26.5
"628","Henderson",2019,0,34.61
"629","Henderson",2020,0,20.97
"630","Henderson",2021,0,20.6
"631","Hertford",2008,48,30.37
"632","Hertford",2009,42,39.34
"633","Hertford",2010,71,52.17
"634","Hertford",2011,67,57.02
"635","Hertford",2012,49,38.38
"636","Hertford",2013,23,9.82
"637","Hertford",2014,51,29.04
"638","Hertford",2015,44,35.98
"639","Hertford",2016,39,35
"640","Hertford",2017,23,18.68
"641","Hertford",2018,30,26.5
"642","Hertford",2019,53,34.61
"643","Hertford",2020,34,20.97
"644","Hertford",2021,30,20.6
"645","Hoke",2008,38,30.37
"646","Hoke",2009,89,39.34
"647","Hoke",2010,92,52.17
"648","Hoke",2011,86,57.02
"649","Hoke",2012,57,38.38
"650","Hoke",2013,9,9.82
"651","Hoke",2014,63,29.04
"652","Hoke",2015,67,35.98
"653","Hoke",2016,63,35
"654","Hoke",2017,40,18.68
"655","Hoke",2018,53,26.5
"656","Hoke",2019,67,34.61
"657","Hoke",2020,39,20.97
"658","Hoke",2021,45,20.6
"659","Hyde",2008,16,30.37
"660","Hyde",2009,21,39.34
"661","Hyde",2010,20,52.17
"662","Hyde",2011,26,57.02
"663","Hyde",2012,18,38.38
"664","Hyde",2013,3,9.82
"665","Hyde",2014,11,29.04
"666","Hyde",2015,13,35.98
"667","Hyde",2016,14,35
"668","Hyde",2017,2,18.68
"669","Hyde",2018,2,26.5
"670","Hyde",2019,12,34.61
"671","Hyde",2020,10,20.97
"672","Hyde",2021,2,20.6
"673","Iredell",2008,42,30.37
"674","Iredell",2009,32,39.34
"675","Iredell",2010,52,52.17
"676","Iredell",2011,77,57.02
"677","Iredell",2012,52,38.38
"678","Iredell",2013,6,9.82
"679","Iredell",2014,22,29.04
"680","Iredell",2015,56,35.98
"681","Iredell",2016,51,35
"682","Iredell",2017,20,18.68
"683","Iredell",2018,39,26.5
"684","Iredell",2019,35,34.61
"685","Iredell",2020,19,20.97
"686","Iredell",2021,23,20.6
"687","Jackson",2008,0,30.37
"688","Jackson",2009,0,39.34
"689","Jackson",2010,0,52.17
"690","Jackson",2011,0,57.02
"691","Jackson",2012,0,38.38
"692","Jackson",2013,0,9.82
"693","Jackson",2014,0,29.04
"694","Jackson",2015,0,35.98
"695","Jackson",2016,0,35
"696","Jackson",2017,0,18.68
"697","Jackson",2018,0,26.5
"698","Jackson",2019,0,34.61
"699","Jackson",2020,0,20.97
"700","Jackson",2021,0,20.6
"701","Johnston",2008,40,30.37
"702","Johnston",2009,68,39.34
"703","Johnston",2010,86,52.17
"704","Johnston",2011,81,57.02
"705","Johnston",2012,56,38.38
"706","Johnston",2013,16,9.82
"707","Johnston",2014,53,29.04
"708","Johnston",2015,55,35.98
"709","Johnston",2016,55,35
"710","Johnston",2017,35,18.68
"711","Johnston",2018,44,26.5
"712","Johnston",2019,56,34.61
"713","Johnston",2020,36,20.97
"714","Johnston",2021,34,20.6
"715","Jones",2008,33,30.37
"716","Jones",2009,64,39.34
"717","Jones",2010,72,52.17
"718","Jones",2011,65,57.02
"719","Jones",2012,39,38.38
"720","Jones",2013,8,9.82
"721","Jones",2014,33,29.04
"722","Jones",2015,34,35.98
"723","Jones",2016,40,35
"724","Jones",2017,17,18.68
"725","Jones",2018,17,26.5
"726","Jones",2019,51,34.61
"727","Jones",2020,27,20.97
"728","Jones",2021,21,20.6
"729","Lee",2008,42,30.37
"730","Lee",2009,77,39.34
"731","Lee",2010,88,52.17
"732","Lee",2011,90,57.02
"733","Lee",2012,60,38.38
"734","Lee",2013,16,9.82
"735","Lee",2014,58,29.04
"736","Lee",2015,58,35.98
"737","Lee",2016,54,35
"738","Lee",2017,37,18.68
"739","Lee",2018,53,26.5
"740","Lee",2019,54,34.61
"741","Lee",2020,38,20.97
"742","Lee",2021,41,20.6
"743","Lenoir",2008,40,30.37
"744","Lenoir",2009,79,39.34
"745","Lenoir",2010,81,52.17
"746","Lenoir",2011,72,57.02
"747","Lenoir",2012,47,38.38
"748","Lenoir",2013,14,9.82
"749","Lenoir",2014,44,29.04
"750","Lenoir",2015,38,35.98
"751","Lenoir",2016,45,35
"752","Lenoir",2017,19,18.68
"753","Lenoir",2018,21,26.5
"754","Lenoir",2019,56,34.61
"755","Lenoir",2020,33,20.97
"756","Lenoir",2021,24,20.6
"757","Lincoln",2008,45,30.37
"758","Lincoln",2009,37,39.34
"759","Lincoln",2010,57,52.17
"760","Lincoln",2011,79,57.02
"761","Lincoln",2012,52,38.38
"762","Lincoln",2013,5,9.82
"763","Lincoln",2014,18,29.04
"764","Lincoln",2015,59,35.98
"765","Lincoln",2016,52,35
"766","Lincoln",2017,22,18.68
"767","Lincoln",2018,38,26.5
"768","Lincoln",2019,39,34.61
"769","Lincoln",2020,20,20.97
"770","Lincoln",2021,23,20.6
"771","Macon",2008,0,30.37
"772","Macon",2009,0,39.34
"773","Macon",2010,0,52.17
"774","Macon",2011,0,57.02
"775","Macon",2012,0,38.38
"776","Macon",2013,0,9.82
"777","Macon",2014,0,29.04
"778","Macon",2015,0,35.98
"779","Macon",2016,0,35
"780","Macon",2017,0,18.68
"781","Macon",2018,0,26.5
"782","Macon",2019,0,34.61
"783","Macon",2020,0,20.97
"784","Macon",2021,0,20.6
"785","Madison",2008,0,30.37
"786","Madison",2009,0,39.34
"787","Madison",2010,0,52.17
"788","Madison",2011,0,57.02
"789","Madison",2012,0,38.38
"790","Madison",2013,0,9.82
"791","Madison",2014,0,29.04
"792","Madison",2015,0,35.98
"793","Madison",2016,0,35
"794","Madison",2017,0,18.68
"795","Madison",2018,0,26.5
"796","Madison",2019,0,34.61
"797","Madison",2020,0,20.97
"798","Madison",2021,0,20.6
"799","Martin",2008,44,30.37
"800","Martin",2009,59,39.34
"801","Martin",2010,76,52.17
"802","Martin",2011,71,57.02
"803","Martin",2012,45,38.38
"804","Martin",2013,27,9.82
